Cycle	Now Cost	Total Cost

0	11546	11546
1	1300	12846
2	375	13221
3	99	13320
4	18	13338
5	6439	19777
6	1218	20995
7	269	21264
8	59	21323
9	38	21361
10	4043	25404
11	629	26033
12	139	26172
13	19	26191
14	0	26191
15	7080	33271
16	1160	34431
17	200	34631
18	92	34723
19	15	34738
20	11785	46523
21	1418	47941
22	312	48253
23	104	48357
24	30	48387
25	1376	49763
26	3	49766
27	198	49964
28	161	50125
29	128	50253
30	8941	59194
31	1487	60681
32	337	61018
33	93	61111
34	22	61133
35	1224	62357
36	1115	63472
37	980	64452
38	334	64786
39	265	65051
40	8440	73491
41	1086	74577
42	746	75323
43	277	75600
44	432	76032
45	9893	85925
46	1659	87584
47	919	88503
48	82	88585
49	297	88882
50	369	89251
51	677	89928
52	358	90286
53	530	90816
54	402	91218
55	9510	100728
56	916	101644
57	351	101995
58	491	102486
59	625	103111
60	11820	114931
61	1447	116378
62	1862	118240
63	2518	120758
64	1791	122549
65	10385	132934
66	2365	135299
67	1641	136940
68	1492	138432
69	1051	139483
70	13651	153134
71	1903	155037
72	1507	156544
73	1043	157587
74	1086	158673
75	9255	167928
76	2815	170743
77	1617	172360
78	3074	175434
79	2864	178298
80	16878	195176
81	5201	200377
82	2350	202727
83	2925	205652
84	4235	209887
85	11119	221006
86	4531	225537
87	3118	228655
88	3300	231955
89	3544	235499
90	10548	246047
91	5637	251684
92	3237	254921
93	2890	257811
94	2425	260236
95	4434	264670
96	5560	270230
97	3063	273293
98	2777	276070
99	4760	280830
100	9908	290738
101	4746	295484
102	10007	305491
103	4364	309855
104	4346	314201
105	8091	322292
106	5791	328083
107	8953	337036
108	3284	340320
109	4842	345162
110	13804	358966
111	6224	365190
112	5200	370390
113	6363	376753
114	7450	384203
115	13185	397388
116	5274	402662
117	4536	407198
118	4126	411324
119	3667	414991
120	13643	428634
121	7743	436377
122	4417	440794
123	8079	448873
124	8189	457062
125	23578	480640
126	7579	488219
127	7285	495504
128	11143	506647
129	7332	513979
130	11966	525945
131	5684	531629
132	8484	540113
133	9757	549870
134	10034	559904
135	15852	575756
136	13637	589393
137	6012	595405
138	6729	602134
139	9750	611884
140	17793	629677
141	12891	642568
142	9726	652294
143	9754	662048
144	12429	674477
145	10132	684609
146	10585	695194
147	10732	705926
148	15589	721515
149	12273	733788
150	21078	754866
151	12077	766943
152	15830	782773
153	16739	799512
154	14101	813613
155	14111	827724
156	13110	840834
157	11640	852474
158	14136	866610
159	13589	880199
160	16496	896695
161	12547	909242
162	12205	921447
163	18693	940140
164	14954	955094
165	17914	973008
166	16089	989097
167	14606	1003703
168	12884	1016587
169	12453	1029040
170	20215	1049255
171	10716	1059971
172	13903	1073874
173	13501	1087375
174	10838	1098213
175	21227	1119440
176	20799	1140239
177	15586	1155825
178	13095	1168920
179	10314	1179234
180	23803	1203037
181	14489	1217526
182	13678	1231204
183	11870	1243074
184	12434	1255508
185	17437	1272945
186	14962	1287907
187	13890	1301797
188	17798	1319595
189	12550	1332145
190	23127	1355272
191	20763	1376035
192	12737	1388772
193	15352	1404124
194	17344	1421468
195	36867	1458335
196	20680	1479015
197	18882	1497897
198	16419	1514316
199	16636	1530952
200	37207	1568159
201	14581	1582740
202	15182	1597922
203	18585	1616507
204	12512	1629019
205	20813	1649832
206	16828	1666660
207	24135	1690795
208	13114	1703909
209	14767	1718676
210	23346	1742022
211	18804	1760826
212	15986	1776812
213	16079	1792891
214	12229	1805120
215	28884	1834004
216	22223	1856227
217	15098	1871325
218	14568	1885893
219	18658	1904551
220	22425	1926976
221	26369	1953345
222	22559	1975904
223	24150	2000054
224	18350	2018404
225	31359	2049763
226	19551	2069314
227	18687	2088001
228	19329	2107330
229	19536	2126866
230	36174	2163040
231	14743	2177783
232	22216	2199999
233	24052	2224051
234	19397	2243448
235	35019	2278467
236	19610	2298077
237	21847	2319924
238	19406	2339330
239	19898	2359228
240	37617	2396845
241	17113	2413958
242	19306	2433264
243	21137	2454401
244	28755	2483156
245	29281	2512437
246	23166	2535603
247	23673	2559276
248	17959	2577235
249	16028	2593263
250	23102	2616365
251	27167	2643532
252	20251	2663783
253	21357	2685140
254	24386	2709526
255	20572	2730098
256	21433	2751531
257	17883	2769414
258	22921	2792335
259	19209	2811544
260	12648	2824192
261	21005	2845197
262	19086	2864283
263	21811	2886094
264	22948	2909042
265	32389	2941431
266	23423	2964854
267	32844	2997698
268	19462	3017160
269	30634	3047794
270	18693	3066487
271	20819	3087306
272	17470	3104776
273	23789	3128565
274	30908	3159473
275	24351	3183824
276	20089	3203913
277	25623	3229536
278	21032	3250568
279	25489	3276057
280	24826	3300883
281	25092	3325975
282	19500	3345475
283	21247	3366722
284	27052	3393774
285	18996	3412770
286	27329	3440099
287	20612	3460711
288	15589	3476300
289	18475	3494775
290	21184	3515959
291	16011	3531970
292	19345	3551315
293	12670	3563985
294	14313	3578298
295	22022	3600320
296	17918	3618238
297	21362	3639600
298	16489	3656089
299	16433	3672522
300	15072	3687594
301	16889	3704483
302	16241	3720724
303	20221	3740945
304	20677	3761622
305	11000	3772622
306	16289	3788911
307	15723	3804634
308	16895	3821529
309	14412	3835941
310	14445	3850386
311	13334	3863720
312	14806	3878526
313	14757	3893283
314	14396	3907679
315	11665	3919344
316	12063	3931407
317	16568	3947975
318	11285	3959260
319	10088	3969348
320	10218	3979566
321	13423	3992989
322	5569	3998558
323	10141	4008699
324	11657	4020356
325	7646	4028002
326	7408	4035410
327	16615	4052025
328	9950	4061975
329	11436	4073411
330	10149	4083560
331	5660	4089220
332	5022	4094242
333	7205	4101447
334	9224	4110671
335	7408	4118079
336	7010	4125089
337	5588	4130677
338	8124	4138801
339	8010	4146811
340	3619	4150430
341	5393	4155823
342	3539	4159362
343	1894	4161256
344	2706	4163962
345	2008	4165970
346	834	4166804
347	1485	4168289
348	878	4169167
349	1950	4171117
350	1379	4172496
351	2206	4174702
352	1140	4175842
353	2349	4178191
354	1718	4179909
355	1416	4181325
356	2058	4183383
357	947	4184330
358	1942	4186272
359	0	4186272
360	0	4186272
361	0	4186272
362	0	4186272
363	0	4186272
364	0	4186272
365	0	4186272
366	0	4186272
367	0	4186272
368	0	4186272
369	0	4186272
370	0	4186272
371	0	4186272
372	0	4186272
373	0	4186272
374	0	4186272
375	0	4186272
376	0	4186272
377	0	4186272
378	0	4186272
379	0	4186272
380	0	4186272
381	0	4186272
382	0	4186272
383	0	4186272
384	0	4186272
385	0	4186272
386	0	4186272
387	0	4186272
388	0	4186272
389	0	4186272
390	0	4186272
391	0	4186272
392	0	4186272
393	0	4186272
394	0	4186272
395	0	4186272
396	0	4186272
397	0	4186272
398	0	4186272
399	0	4186272
400	0	4186272
401	0	4186272
402	0	4186272
403	0	4186272
404	0	4186272
405	0	4186272
406	0	4186272
407	0	4186272
408	0	4186272
409	0	4186272
410	0	4186272
411	0	4186272
412	0	4186272
413	0	4186272
414	0	4186272
415	0	4186272
416	0	4186272
417	0	4186272
418	0	4186272
419	0	4186272
420	0	4186272
421	0	4186272
422	0	4186272
423	0	4186272
424	0	4186272
425	0	4186272
426	0	4186272
427	0	4186272
428	0	4186272
429	0	4186272
430	0	4186272
431	0	4186272
432	0	4186272
433	0	4186272
434	0	4186272
435	0	4186272
436	0	4186272
437	0	4186272
438	0	4186272
439	0	4186272
440	0	4186272
441	0	4186272
442	0	4186272
443	0	4186272
444	0	4186272
445	0	4186272
446	0	4186272
447	0	4186272
448	0	4186272
449	0	4186272
450	0	4186272
451	0	4186272
452	0	4186272
453	0	4186272
454	0	4186272
455	0	4186272
456	0	4186272
457	0	4186272
458	0	4186272
459	0	4186272
460	0	4186272
461	0	4186272
462	0	4186272
463	0	4186272
464	0	4186272
465	0	4186272
466	0	4186272
467	0	4186272
468	0	4186272
469	0	4186272
470	0	4186272
471	0	4186272
472	0	4186272
473	0	4186272
474	0	4186272
475	0	4186272
476	0	4186272
477	0	4186272
478	0	4186272
479	0	4186272
480	0	4186272
481	0	4186272
482	0	4186272
483	0	4186272
484	0	4186272
485	0	4186272
486	0	4186272
487	0	4186272
488	0	4186272
489	0	4186272
490	0	4186272
491	0	4186272
492	0	4186272
493	0	4186272
494	0	4186272
495	0	4186272
496	0	4186272
497	0	4186272
498	0	4186272
499	0	4186272
